platform,version,dataset,workers,nodes,rep,time_ms,accuracy
hickory,mpi,large,1,1,1,8120,99.48
hickory,mpi,large,1,1,2,8123,99.48
hickory,mpi,large,1,1,3,8122,99.48
hickory,mpi,large,2,1,1,4075,99.48
hickory,mpi,large,2,1,2,4070,99.48
hickory,mpi,large,2,1,3,4072,99.48
hickory,mpi,large,4,1,1,2057,99.48
hickory,mpi,large,4,1,2,2048,99.48
hickory,mpi,large,4,1,3,2060,99.48
hickory,mpi,large,6,1,1,1387,99.48
hickory,mpi,large,6,1,2,1384,99.48
hickory,mpi,large,6,1,3,1386,99.48
hickory,mpi,medium,1,1,1,418,27.57
hickory,mpi,medium,1,1,2,419,27.57
hickory,mpi,medium,1,1,3,419,27.57
hickory,mpi,medium,2,1,1,212,27.57
hickory,mpi,medium,2,1,2,212,27.57
hickory,mpi,medium,2,1,3,212,27.57
hickory,mpi,medium,4,1,1,134,27.57
hickory,mpi,medium,4,1,2,134,27.57
hickory,mpi,medium,4,1,3,134,27.57
hickory,mpi,medium,6,1,1,93,27.57
hickory,mpi,medium,6,1,2,92,27.57
hickory,mpi,medium,6,1,3,92,27.57
hickory,mpi,small,1,1,1,5,85.00
hickory,mpi,small,1,1,2,5,85.00
hickory,mpi,small,1,1,3,5,85.00
hickory,mpi,small,2,1,1,3,85.00
hickory,mpi,small,2,1,2,2,85.00
hickory,mpi,small,2,1,3,3,85.00
hickory,mpi,small,4,1,1,5,85.00
hickory,mpi,small,4,1,2,4,85.00
hickory,mpi,small,4,1,3,4,85.00
hickory,mpi,small,6,1,1,3,85.00
hickory,mpi,small,6,1,2,3,85.00
hickory,mpi,small,6,1,3,3,85.00
hickory,openmp,large,1,1,1,8154,99.48
hickory,openmp,large,1,1,2,8118,99.48
hickory,openmp,large,1,1,3,8155,99.48
hickory,openmp,large,2,1,1,4116,99.48
hickory,openmp,large,2,1,2,4130,99.48
hickory,openmp,large,2,1,3,4122,99.48
hickory,openmp,large,4,1,1,2096,99.48
hickory,openmp,large,4,1,2,2102,99.48
hickory,openmp,large,4,1,3,2138,99.48
hickory,openmp,large,6,1,1,1518,99.48
hickory,openmp,large,6,1,2,1858,99.48
hickory,openmp,large,6,1,3,1539,99.48
hickory,openmp,medium,1,1,1,421,27.57
hickory,openmp,medium,1,1,2,420,27.57
hickory,openmp,medium,1,1,3,421,27.57
hickory,openmp,medium,2,1,1,249,27.57
hickory,openmp,medium,2,1,2,240,27.57
hickory,openmp,medium,2,1,3,245,27.57
hickory,openmp,medium,4,1,1,167,27.57
hickory,openmp,medium,4,1,2,175,27.57
hickory,openmp,medium,4,1,3,166,27.57
hickory,openmp,medium,6,1,1,163,27.57
hickory,openmp,medium,6,1,2,178,27.57
hickory,openmp,medium,6,1,3,99,27.57
hickory,openmp,small,1,1,1,5,85.00
hickory,openmp,small,1,1,2,7,85.00
hickory,openmp,small,1,1,3,6,85.00
hickory,openmp,small,2,1,1,3,85.00
hickory,openmp,small,2,1,2,3,85.00
hickory,openmp,small,2,1,3,3,85.00
hickory,openmp,small,4,1,1,11,85.00
hickory,openmp,small,4,1,2,10,85.00
hickory,openmp,small,4,1,3,11,85.00
hickory,openmp,small,6,1,1,29,85.00
hickory,openmp,small,6,1,2,12,85.00
hickory,openmp,small,6,1,3,5,85.00
hickory,serial,large,1,1,1,8060,99.48
hickory,serial,large,1,1,2,8103,99.48
hickory,serial,large,1,1,3,8106,99.48
hickory,serial,medium,1,1,1,418,27.57
hickory,serial,medium,1,1,2,418,27.57
hickory,serial,medium,1,1,3,418,27.57
hickory,serial,small,1,1,1,7,85.00
hickory,serial,small,1,1,2,5,85.00
hickory,serial,small,1,1,3,5,85.00
hickory,threaded,large,1,1,1,8302,99.48
hickory,threaded,large,1,1,2,8259,99.48
hickory,threaded,large,1,1,3,8297,99.48
hickory,threaded,large,2,1,1,4174,99.48
hickory,threaded,large,2,1,2,4183,99.48
hickory,threaded,large,2,1,3,4175,99.48
hickory,threaded,large,4,1,1,2203,99.48
hickory,threaded,large,4,1,2,2129,99.48
hickory,threaded,large,4,1,3,2282,99.48
hickory,threaded,large,6,1,1,1525,99.48
hickory,threaded,large,6,1,2,1560,99.48
hickory,threaded,large,6,1,3,1526,99.48
hickory,threaded,medium,1,1,1,430,27.57
hickory,threaded,medium,1,1,2,428,27.57
hickory,threaded,medium,1,1,3,429,27.57
hickory,threaded,medium,2,1,1,233,27.57
hickory,threaded,medium,2,1,2,230,27.57
hickory,threaded,medium,2,1,3,245,27.57
hickory,threaded,medium,4,1,1,207,27.57
hickory,threaded,medium,4,1,2,171,27.57
hickory,threaded,medium,4,1,3,158,27.57
hickory,threaded,medium,6,1,1,209,27.57
hickory,threaded,medium,6,1,2,131,27.57
hickory,threaded,medium,6,1,3,174,27.57
hickory,threaded,small,1,1,1,7,85.00
hickory,threaded,small,1,1,2,6,85.00
hickory,threaded,small,1,1,3,7,85.00
hickory,threaded,small,2,1,1,3,85.00
hickory,threaded,small,2,1,2,3,85.00
hickory,threaded,small,2,1,3,3,85.00
hickory,threaded,small,4,1,1,3,85.00
hickory,threaded,small,4,1,2,3,85.00
hickory,threaded,small,4,1,3,5,85.00
hickory,threaded,small,6,1,1,3,85.00
hickory,threaded,small,6,1,2,3,85.00
hickory,threaded,small,6,1,3,2,85.00
