platform,version,dataset,workers,nodes,rep,time_ms,accuracy
maple,serial,small,1,1,1,8,85.00
maple,serial,small,1,1,2,9,85.00
maple,serial,small,1,1,3,11,85.00
maple,threaded,small,1,1,1,8,85.00
maple,openmp,small,1,1,1,11,85.00
maple,mpi,small,1,1,1,6,85.00
maple,threaded,small,1,1,2,11,85.00
maple,openmp,small,1,1,2,8,85.00
maple,mpi,small,1,1,2,7,85.00
maple,threaded,small,1,1,3,11,85.00
maple,openmp,small,1,1,3,12,85.00
maple,mpi,small,1,1,3,7,85.00
maple,threaded,small,2,1,1,8,85.00
maple,openmp,small,2,1,1,13,85.00
maple,mpi,small,2,1,1,5,85.00
maple,threaded,small,2,1,2,10,85.00
maple,openmp,small,2,1,2,18,85.00
maple,mpi,small,2,1,2,5,85.00
maple,threaded,small,2,1,3,6,85.00
maple,openmp,small,2,1,3,15,85.00
maple,mpi,small,2,1,3,5,85.00
maple,threaded,small,4,1,1,5,85.00
maple,openmp,small,4,1,1,6,85.00
maple,mpi,small,4,1,1,7,85.00
maple,threaded,small,4,1,2,8,85.00
maple,openmp,small,4,1,2,8,85.00
maple,mpi,small,4,1,2,23,85.00
maple,threaded,small,4,1,3,11,85.00
maple,openmp,small,4,1,3,6,85.00
maple,mpi,small,4,1,3,7,85.00
maple,threaded,small,8,1,1,9,85.00
maple,openmp,small,8,1,1,26,85.00
maple,mpi,small,8,1,1,6,85.00
maple,threaded,small,8,1,2,9,85.00
maple,openmp,small,8,1,2,8,85.00
maple,mpi,small,8,1,2,6,85.00
maple,threaded,small,8,1,3,13,85.00
maple,openmp,small,8,1,3,7,85.00
maple,mpi,small,8,1,3,43,85.00
maple,threaded,small,16,1,1,13,85.00
maple,openmp,small,16,1,1,10,85.00
maple,mpi,small,16,1,1,11,85.00
maple,threaded,small,16,1,2,14,85.00
maple,openmp,small,16,1,2,10,85.00
maple,mpi,small,16,1,2,8,85.00
maple,threaded,small,16,1,3,9,85.00
maple,openmp,small,16,1,3,11,85.00
maple,mpi,small,16,1,3,2,85.00
maple,threaded,small,32,1,1,12,85.00
maple,openmp,small,32,1,1,14,85.00
maple,mpi,small,32,1,1,18,85.00
maple,threaded,small,32,1,2,15,85.00
maple,openmp,small,32,1,2,14,85.00
maple,mpi,small,32,1,2,12,85.00
maple,threaded,small,32,1,3,24,85.00
maple,openmp,small,32,1,3,15,85.00
maple,mpi,small,32,1,3,58,85.00
maple,threaded,small,64,1,1,12,85.00
maple,openmp,small,64,1,1,29,85.00
maple,threaded,small,64,1,2,12,85.00
maple,openmp,small,64,1,2,11,85.00
maple,serial,medium,1,1,1,652,27.57
maple,serial,medium,1,1,2,742,27.57
maple,serial,medium,1,1,3,786,27.57
maple,serial,large,1,1,1,14093,99.48
maple,serial,large,1,1,2,14361,99.48
maple,serial,large,1,1,3,12349,99.48
maple,threaded,medium,1,1,1,899,27.57
maple,openmp,medium,1,1,1,633,27.57
maple,mpi,medium,1,1,1,636,27.57
maple,threaded,medium,1,1,2,620,27.57
maple,openmp,medium,1,1,2,737,27.57
maple,mpi,medium,1,1,2,641,27.57
maple,threaded,medium,1,1,3,649,27.57
maple,openmp,medium,1,1,3,616,27.57
maple,mpi,medium,1,1,3,613,27.57
maple,threaded,medium,2,1,1,894,27.57
maple,openmp,medium,2,1,1,570,27.57
maple,mpi,medium,2,1,1,606,27.57
maple,threaded,medium,2,1,2,569,27.57
maple,openmp,medium,2,1,2,606,27.57
maple,mpi,medium,2,1,2,603,27.57
maple,threaded,medium,2,1,3,587,27.57
maple,openmp,medium,2,1,3,556,27.57
maple,mpi,medium,2,1,3,670,27.57
maple,threaded,medium,4,1,1,597,27.57
maple,openmp,medium,4,1,1,545,27.57
maple,mpi,medium,4,1,1,697,27.57
maple,threaded,medium,4,1,2,770,27.57
maple,openmp,medium,4,1,2,545,27.57
maple,mpi,medium,4,1,2,894,27.57
maple,threaded,medium,4,1,3,787,27.57
maple,openmp,medium,4,1,3,595,27.57
maple,mpi,medium,4,1,3,685,27.57
maple,threaded,medium,8,1,1,687,27.57
maple,openmp,medium,8,1,1,555,27.57
maple,mpi,medium,8,1,1,730,27.57
maple,threaded,medium,8,1,2,546,27.57
maple,openmp,medium,8,1,2,548,27.57
maple,mpi,medium,8,1,2,720,27.57
maple,threaded,medium,8,1,3,545,27.57
maple,openmp,medium,8,1,3,557,27.57
maple,mpi,medium,8,1,3,713,27.57
maple,threaded,medium,16,1,1,576,27.57
maple,openmp,medium,16,1,1,563,27.57
maple,mpi,medium,16,1,1,692,27.57
maple,threaded,medium,16,1,2,555,27.57
maple,openmp,medium,16,1,2,597,27.57
maple,mpi,medium,16,1,2,621,27.57
maple,threaded,medium,16,1,3,647,27.57
maple,openmp,medium,16,1,3,536,27.57
maple,mpi,medium,16,1,3,740,27.57
maple,threaded,medium,32,1,1,536,27.57
maple,openmp,medium,32,1,1,546,27.57
maple,mpi,medium,32,1,1,852,27.57
maple,threaded,medium,32,1,2,549,27.57
maple,openmp,medium,32,1,2,523,27.57
maple,mpi,medium,32,1,2,987,27.57
maple,threaded,medium,32,1,3,574,27.57
maple,openmp,medium,32,1,3,537,27.57
maple,mpi,medium,32,1,3,959,27.57
maple,threaded,medium,64,1,1,532,27.57
maple,openmp,medium,64,1,1,579,27.57
maple,threaded,medium,64,1,2,555,27.57
maple,openmp,medium,64,1,2,534,27.57
maple,threaded,medium,64,1,3,565,27.57
maple,openmp,medium,64,1,3,552,27.57
