platform,version,node_policy,dataset,workers,n_reps,mean_time_ms,accuracy,speedup_abs,speedup_rel,parallel_fraction_karp_flatt
hickory,mpi,n/a,large,1,3,8121.667,99.48,0.9961,1.0,
hickory,mpi,n/a,large,2,3,4072.333,99.48,1.9865,1.9944,0.9932
hickory,mpi,n/a,large,4,3,2055.0,99.48,3.9366,3.9521,0.9946
hickory,mpi,n/a,large,6,3,1385.667,99.48,5.8381,5.8612,0.9945
hickory,mpi,n/a,medium,1,3,418.667,27.57,0.9984,1.0,
hickory,mpi,n/a,medium,2,3,212.0,27.57,1.9717,1.9748,0.9856
hickory,mpi,n/a,medium,4,3,134.0,27.57,3.1194,3.1244,0.9059
hickory,mpi,n/a,medium,6,3,92.333,27.57,4.5271,4.5343,0.9349
hickory,mpi,n/a,small,1,3,5.0,85.0,1.1333,1.0,
hickory,mpi,n/a,small,2,3,2.667,85.0,2.125,1.875,1.0588
hickory,mpi,n/a,small,4,3,4.333,85.0,1.3077,1.1538,0.3137
hickory,mpi,n/a,small,6,3,3.0,85.0,1.8889,1.6667,0.5647
hickory,openmp,n/a,large,1,3,8142.333,99.48,0.9935,1.0,
hickory,openmp,n/a,large,2,3,4122.667,99.48,1.9622,1.975,0.9808
hickory,openmp,n/a,large,4,3,2112.0,99.48,3.8303,3.8553,0.9852
hickory,openmp,n/a,large,6,3,1638.333,99.48,4.9377,4.9699,0.957
hickory,openmp,n/a,medium,1,3,420.667,27.57,0.9937,1.0,
hickory,openmp,n/a,medium,2,3,244.667,27.57,1.7084,1.7193,0.8293
hickory,openmp,n/a,medium,4,3,169.333,27.57,2.4685,2.4843,0.7932
hickory,openmp,n/a,medium,6,3,146.667,27.57,2.85,2.8682,0.7789
hickory,openmp,n/a,small,1,3,6.0,85.0,0.9444,1.0,
hickory,openmp,n/a,small,2,3,3.0,85.0,1.8889,2.0,0.9412
hickory,openmp,n/a,small,4,3,10.667,85.0,0.5313,0.5625,-1.1765
hickory,openmp,n/a,small,6,3,15.333,85.0,0.3696,0.3913,-2.0471
hickory,serial,n/a,large,1,3,8089.667,99.48,1.0,1.0,
hickory,serial,n/a,medium,1,3,418.0,27.57,1.0,1.0,
hickory,serial,n/a,small,1,3,5.667,85.0,1.0,1.0,
hickory,threaded,n/a,large,1,3,8286.0,99.48,0.9763,1.0,
hickory,threaded,n/a,large,2,3,4177.333,99.48,1.9366,1.9836,0.9672
hickory,threaded,n/a,large,4,3,2204.667,99.48,3.6693,3.7584,0.97
hickory,threaded,n/a,large,6,3,1537.0,99.48,5.2633,5.391,0.972
hickory,threaded,n/a,medium,1,3,429.0,27.57,0.9744,1.0,
hickory,threaded,n/a,medium,2,3,236.0,27.57,1.7712,1.8178,0.8708
hickory,threaded,n/a,medium,4,3,178.667,27.57,2.3396,2.4011,0.7634
hickory,threaded,n/a,medium,6,3,171.333,27.57,2.4397,2.5039,0.7081
hickory,threaded,n/a,small,1,3,6.667,85.0,0.85,1.0,
hickory,threaded,n/a,small,2,3,3.0,85.0,1.8889,2.2222,0.9412
hickory,threaded,n/a,small,4,3,3.667,85.0,1.5455,1.8182,0.4706
hickory,threaded,n/a,small,6,3,2.667,85.0,2.125,2.5,0.6353
maple,mpi,n/a,medium,1,3,630.0,27.57,1.1534,1.0,
maple,mpi,n/a,medium,2,3,626.333,27.57,1.1602,1.0059,0.2761
maple,mpi,n/a,medium,4,3,758.667,27.57,0.9578,0.8304,-0.0587
maple,mpi,n/a,medium,8,3,721.0,27.57,1.0079,0.8738,0.0089
maple,mpi,n/a,medium,16,3,684.333,27.57,1.0619,0.9206,0.0621
maple,mpi,n/a,medium,32,3,932.667,27.57,0.7791,0.6755,-0.2926
maple,mpi,n/a,small,1,3,6.667,85.0,1.4,1.0,
maple,mpi,n/a,small,2,3,5.0,85.0,1.8667,1.3333,0.9286
maple,mpi,n/a,small,4,3,12.333,85.0,0.7568,0.5405,-0.4286
maple,mpi,n/a,small,8,3,18.333,85.0,0.5091,0.3636,-1.102
maple,mpi,n/a,small,16,3,7.0,85.0,1.3333,0.9524,0.2667
maple,mpi,n/a,small,32,3,29.333,85.0,0.3182,0.2273,-2.212
maple,openmp,n/a,medium,1,3,662.0,27.57,1.0977,1.0,
maple,openmp,n/a,medium,2,3,577.333,27.57,1.2587,1.1467,0.411
maple,openmp,n/a,medium,4,3,561.667,27.57,1.2938,1.1786,0.3028
maple,openmp,n/a,medium,8,3,553.333,27.57,1.3133,1.1964,0.2726
maple,openmp,n/a,medium,16,3,565.333,27.57,1.2854,1.171,0.2368
maple,openmp,n/a,medium,32,3,535.333,27.57,1.3574,1.2366,0.2718
